Date,Year,Month,Daily Vehicle Count,Regular Gas Price Average,Midgrade Gas Price Average,Premium Gas Price Average,Monthly_Max_Temp,Monthly_Min_Temp,Monthly_Sum_Precipitation,Monthly_Snowfall
2005-01,2005,Jan,19470,1.766,1.876,1.98,32.3,12.7,2.29,36
2005-02,2005,Feb,21207,1.855,1.965,2.065,33.9,10.5,2.14,37.5
2005-03,2005,Mar,22943,2.0825,2.19,2.2875,39.5,17.5,1.49,20
2005-04,2005,Apr,21288,2.23,2.3425,2.445,49.9,24.0,2.24,20
2005-05,2005,May,23505,2.154,2.264,2.364,62.1,30.5,1.01,2
2005-06,2005,Jun,27502,2.1,2.2075,2.315,68.8,34.4,3.05,0
2005-07,2005,Jul,26983,2.245,2.355,2.455,79.5,40.9,0.42,0
2005-08,2005,Aug,26646,2.442,2.552,2.65,72.1,40.0,1.96,0
2005-09,2005,Sep,24940,2.9475,3.055,3.15,68.6,33.8,3.16,0
2005-10,2005,Oct,22596,2.762,2.872,2.974,56.4,28.4,2.27,6.5
2005-11,2005,Nov,20515,2.3325,2.4375,2.5425,39.5,15.3,1.42,0
2005-12,2005,Dec,19588,2.155,2.26,2.36,28.1,7.7,1.97,0
2006-01,2006,Jan,19845,2.238,2.346,2.448,27.7,6.0,2.10,0
2006-02,2006,Feb,18485,2.215,2.3225,2.425,33.4,9.9,1.75,0
2006-03,2006,Mar,23220,2.3925,2.5,2.6025,37.7,11.5,0.87,9.1
2006-04,2006,Apr,22153,2.665,2.775,2.875,54.5,23.1,0.38,4.5
2006-05,2006,May,21138,2.81,2.918,3.018,61.2,28.5,0.25,0
2006-06,2006,Jun,26740,2.8,2.9075,3.0075,75.1,36.3,0.33,0
2006-07,2006,Jul,28011,2.936,3.048,3.14,77.5,44.9,2.62,0
2006-08,2006,Aug,27524,3.005,3.11,3.21,73.6,42.8,1.92,0
2006-09,2006,Sep,25338,2.78,2.895,2.9875,59.6,30.6,3.44,4.5
2006-10,2006,Oct,20618,2.354,2.464,2.564,51.0,25.4,3.14,14.5
2006-11,2006,Nov,21992,2.1575,2.26,2.36,39.9,14.2,2.09,23.3
2006-12,2006,Dec,20939,2.1775,2.28,2.38,28.3,8.5,0.62,17.5
2007-01,2007,Jan,21395,2.128,2.234,2.334,24.2,2.0,1.72,21.5
2007-02,2007,Feb,21353,2.185,2.2925,2.39,33.6,10.6,1.87,20.7
2007-03,2007,Mar,23637,2.4875,2.595,2.695,44.8,18.2,1.40,5.5
2007-04,2007,Apr,22582,2.778,2.888,2.996,51.6,25.5,1.74,7.6
2007-05,2007,May,24265,3.235,3.355,3.47,60.7,31.6,1.35,7
2007-06,2007,Jun,27268,3.1925,3.3125,3.4225,72.7,36.0,0.73,0
2007-07,2007,Jul,29439,3.076,3.186,3.292,79.7,44.8,0.96,0
2007-08,2007,Aug,26065,2.8625,2.975,3.0825,76.2,45.2,2.41,0
2007-09,2007,Sep,23595,2.8675,2.9825,3.09,67.0,35.2,3.25,0
2007-10,2007,Oct,22722,2.792,2.902,3.016,53.8,24.8,2.17,9.7
2007-11,2007,Nov,22460,3.0275,3.1375,3.2475,42.6,14.9,0.70,4.3
2007-12,2007,Dec,20238,2.878,2.996,3.106,26.4,6.3,3.47,45
2008-01,2008,Jan,21786,2.8525,2.9675,3.0775,23.6,1.2,3.29,47.8
2008-02,2008,Feb,22880,2.935,3.05,3.1625,30.0,8.4,2.66,52.6
2008-03,2008,Mar,24374,3.116,3.232,3.34,37.5,9.0,2.04,27
2008-04,2008,Apr,22791,3.355,3.47,3.58,43.3,16.4,2.25,36
2008-05,2008,May,24524,3.66,3.78,3.89,57.6,29.4,2.91,14.8
2008-06,2008,Jun,26906,3.934,4.05,4.16,70.9,33.7,0.79,0
2008-07,2008,Jul,28666,3.995,4.1125,4.225,78.0,41.6,1.51,0
2008-08,2008,Aug,28362,3.8125,3.93,4.0375,74.0,41.3,1.83,0
2008-09,2008,Sep,25861,3.648,3.764,3.874,66.2,32.9,1.85,0
2008-10,2008,Oct,23962,3.0475,3.1675,3.2675,55.8,24.0,1.15,3.5
2008-11,2008,Nov,20539,2.1,2.21,2.32,42.4,18.8,1.00,8
2008-12,2008,Dec,19436,1.614,1.726,1.834,27.7,8.6,3.70,57
2009-01,2009,Jan,20473,1.59,1.7025,1.8125,27.7,7.8,2.79,50
2009-02,2009,Feb,21084,1.8225,1.9325,2.04,34.9,12.0,1.82,8.1
2009-03,2009,Mar,22687,1.862,1.978,2.082,41.9,15.9,1.85,31
2009-04,2009,Apr,20734,2.0125,2.1325,2.24,47.2,20.6,1.52,19.5
2009-05,2009,May,22971,2.2225,2.335,2.445,61.6,33.7,2.42,0
2009-06,2009,Jun,26494,2.514,2.624,2.734,65.4,36.6,2.89,0
2009-07,2009,Jul,28787,2.465,2.58,2.6875,75.1,40.3,2.15,0
2009-08,2009,Aug,27696,2.516,2.628,2.736,72.4,37.9,0.81,0
2009-09,2009,Sep,25134,2.4425,2.5625,2.6625,65.8,35.1,1.26,0
